row_id,algorithm,fid,instance,dim,run,seed,best_error,evaluations,generations,wall_time
73,fixed:rand/1,3,1,5,23,8866912510993548951,12.19015972852253,2500,50,1.1797700840397738
74,fixed:rand/1,3,1,5,24,10924680374131193473,8.67395236403479,2500,50,1.1250981250195764
75,fixed:rand/1,4,1,5,0,16617841170970126932,16.41384664806742,2500,50,1.2376737500308082
76,fixed:rand/1,4,1,5,1,112441251796397363,10.617717601563129,2500,50,1.1022160419961438
77,fixed:rand/1,4,1,5,2,16658842939611506025,11.001283152222129,2500,50,1.0833466670010239
78,fixed:rand/1,4,1,5,3,13623122101655529492,14.240627889049847,2500,50,1.1679686669958755
79,fixed:rand/1,4,1,5,4,1255411337835304375,13.700802204476304,2500,50,1.1457634159596637
80,fixed:rand/1,4,1,5,5,12370335916929914966,14.008095216762456,2500,50,1.0494190420140512
81,fixed:rand/1,4,1,5,6,10670557956359749384,9.361235226925885,2500,50,1.0236387079930864
82,fixed:rand/1,4,1,5,7,7054635316220151107,14.076250198448975,2500,50,1.0307484999648295
83,fixed:rand/1,4,1,5,8,1684005189611946281,8.025007316993992,2500,50,1.266138500010129
84,fixed:rand/1,4,1,5,9,5418752102660132233,15.997314350665988,2500,50,1.0950190830044448
85,fixed:rand/1,4,1,5,10,11160540119533780721,11.255421881445784,2500,50,1.0151019169716164
86,fixed:rand/1,4,1,5,11,9255596962296296059,8.367915998446847,2500,50,1.2243012500111945
87,fixed:rand/1,4,1,5,12,1977599694002889455,9.3897998936269,2500,50,1.120889084006194
88,fixed:rand/1,4,1,5,13,12520363577797044962,15.456962479066135,2500,50,1.1519977090065368
89,fixed:rand/1,4,1,5,14,3323571224326011601,10.263571194749773,2500,50,1.0193777499953285
90,fixed:rand/1,4,1,5,15,4723687881948228354,9.602273304899029,2500,50,1.2618563330033794
91,fixed:rand/1,4,1,5,16,16571910116112024145,14.719458663945147,2500,50,1.2420707919518463
92,fixed:rand/1,4,1,5,17,18300865748888071776,12.601349885004709,2500,50,1.2016605830285698
93,fixed:rand/1,4,1,5,18,8939224854893607125,10.067331833691753,2500,50,0.8676510420045815
94,fixed:rand/1,4,1,5,19,10911841659369647774,13.464665409820213,2500,50,1.1284823750029318
95,fixed:rand/1,4,1,5,20,989063403527031001,8.568819374394536,2500,50,1.005818834004458
96,fixed:rand/1,4,1,5,21,10779003369072609979,12.860918764674352,2500,50,1.106169458013028
97,fixed:rand/1,4,1,5,22,13249296932843964995,10.462385428041728,2500,50,1.0995231670094654
98,fixed:rand/1,4,1,5,23,8573586245900761908,10.44533073951294,2500,50,1.2405764579889365
99,fixed:rand/1,4,1,5,24,10645813911761529450,8.342292946579335,2500,50,1.003752542019356
100,fixed:rand/1,5,1,5,0,15743955394534854183,0.16150227305363885,2500,50,1.232956624997314
101,fixed:rand/1,5,1,5,1,9826028128430201305,0.3983110880443803,2500,50,1.1689767909701914
102,fixed:rand/1,5,1,5,2,9825528449117734586,0.5982963699513846,2500,50,1.115255040989723
103,fixed:rand/1,5,1,5,3,13323338128231991482,0.32701408224968986,2500,50,1.1361078330082819
104,fixed:rand/1,5,1,5,4,2068005082290681937,0.7628009609126849,2500,50,1.2505174580146559
105,fixed:rand/1,5,1,5,5,2338790565752713916,0.27394761017836444,2500,50,1.1887581669725478
106,fixed:rand/1,5,1,5,6,5056685513774598606,0.3496552531273398,2500,50,1.0691957920207642
107,fixed:rand/1,5,1,5,7,14573716808170434484,0.3588789860958208,2500,50,1.0015470829675905
108,fixed:rand/1,5,1,5,8,964941543483775989,0.42666903092451847,2500,50,1.2197646250133403
109,fixed:rand/1,5,1,5,9,7969181122780158693,1.0351797660188709,2500,50,1.0819290420040488
110,fixed:rand/1,5,1,5,10,18022102283207212851,0.3971393632595692,2500,50,1.1275752910296433
111,fixed:rand/1,5,1,5,11,17664869278305777559,0.5104335089956322,2500,50,1.0908756249700673
